2012-02-03 17:01:44,262 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-4
2012-02-03 17:01:44,262 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-4
2012-02-03 17:01:44,262 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-4
2012-02-03 17:01:44,263 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | Thread-4
2012-02-03 17:01:44,288 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | Thread-4
2012-02-03 17:01:44,861 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-44044-1328288461484-0:1) stopped | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:01:45,762 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2012-02-03 17:01:45,763 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-44044-1328288461484-0:1) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:01:46,601 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:01:46,637 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:01:46 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:12:03,669 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:12:03,706 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:12:03 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:14:06,014 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:14:06,050 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:14:06 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:16:40,766 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:16:40,802 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:16:40 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:20:26,489 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:20:26,526 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:20:26 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:21:38,527 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:21:38,562 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:21:38 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:11,988 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:22:12,026 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:22:12 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:12,468 | DEBUG | Bean factory for org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: org.springframework.beans.factory.support.DefaultListableBeanFactory@da6bf4: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,org.apache.activemq.xbean.XBeanBrokerService#0]; root of factory hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:12,513 | DEBUG | Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@814013] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:12,515 | DEBUG | Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@de1b8a] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:12,616 | INFO  | PListStore:/var/lib/activemq/camel-social/data/localhost/tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2012-02-03 17:22:12,627 | DEBUG | Probably not using JRE 1.4: mx4j.tools.naming.NamingService | org.apache.activemq.broker.jmx.ManagementContext | main
2012-02-03 17:22:12,634 | DEBUG | Starting JMXConnectorServer... | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2012-02-03 17:22:12,732 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/var/lib/activemq/camel-social/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:22:12,751 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2012-02-03 17:22:13,496 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2012-02-03 17:22:13,499 | DEBUG | loading | org.apache.kahadb.index.BTreeIndex | main
2012-02-03 17:22:13,513 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
